at,strategy,pair,direction,entry,stop_loss,tp1,rr,gate,detail,cost_share_pct
2026-08-30T10:22:09+00:00,FIBO,LTCUSDT,LONG,48.735,48.073679999999996,49.9875,1.8939393939393805,предел издержек,вход слишком дорог: комиссии съедят 5.2% риска при пределе 5.0% — стоп стоит слишком тесно,5.153
2026-08-30T10:26:30+00:00,FIBO,LTCUSDT,LONG,48.735,48.073679999999996,49.9875,1.8939393939393805,предел издержек,вход слишком дорог: комиссии съедят 5.2% риска при пределе 5.0% — стоп стоит слишком тесно,5.153
2026-08-30T10:31:33+00:00,FIBO,LTCUSDT,LONG,48.735,48.073679999999996,49.9875,1.8939393939393805,предел издержек,вход слишком дорог: комиссии съедят 5.2% риска при пределе 5.0% — стоп стоит слишком тесно,5.153
2026-08-30T10:36:32+00:00,FIBO,LTCUSDT,LONG,48.735,48.073679999999996,49.9875,1.8939393939393805,предел издержек,вход слишком дорог: комиссии съедят 5.2% риска при пределе 5.0% — стоп стоит слишком тесно,5.153
2026-08-30T10:41:30+00:00,FIBO,LTCUSDT,LONG,48.735,48.073679999999996,49.9875,1.8939393939393805,предел издержек,вход слишком дорог: комиссии съедят 5.2% риска при пределе 5.0% — стоп стоит слишком тесно,5.153
2026-08-30T10:46:30+00:00,FIBO,LTCUSDT,LONG,48.735,48.073679999999996,49.9875,1.8939393939393805,предел издержек,вход слишком дорог: комиссии съедят 5.2% риска при пределе 5.0% — стоп стоит слишком тесно,5.153
2026-08-30T10:51:35+00:00,FIBO,LTCUSDT,LONG,48.735,48.073679999999996,49.9875,1.8939393939393805,предел издержек,вход слишком дорог: комиссии съедят 5.2% риска при пределе 5.0% — стоп стоит слишком тесно,5.153
2026-08-30T10:56:47+00:00,FIBO,LTCUSDT,LONG,48.735,48.073679999999996,49.9875,1.8939393939393805,предел издержек,вход слишком дорог: комиссии съедят 5.2% риска при пределе 5.0% — стоп стоит слишком тесно,5.153
2026-08-30T11:01:43+00:00,FIBO,LTCUSDT,LONG,48.735,48.073679999999996,49.9875,1.8939393939393805,предел издержек,вход слишком дорог: комиссии съедят 5.2% риска при пределе 5.0% — стоп стоит слишком тесно,5.153
2026-08-30T11:06:45+00:00,FIBO,LTCUSDT,LONG,48.735,48.073679999999996,49.9875,1.8939393939393805,предел издержек,вход слишком дорог: комиссии съедят 5.2% риска при пределе 5.0% — стоп стоит слишком тесно,5.153
2026-08-30T11:11:44+00:00,FIBO,LTCUSDT,LONG,48.735,48.073679999999996,49.9875,1.8939393939393805,предел издержек,вход слишком дорог: комиссии съедят 5.2% риска при пределе 5.0% — стоп стоит слишком тесно,5.153
2026-08-30T11:16:35+00:00,FIBO,LTCUSDT,LONG,48.735,48.073679999999996,49.9875,1.8939393939393805,предел издержек,вход слишком дорог: комиссии съедят 5.2% риска при пределе 5.0% — стоп стоит слишком тесно,5.153
2026-08-30T11:21:32+00:00,FIBO,LTCUSDT,LONG,48.735,48.073679999999996,49.9875,1.8939393939393805,предел издержек,вход слишком дорог: комиссии съедят 5.2% риска при пределе 5.0% — стоп стоит слишком тесно,5.153
2026-08-30T11:27:01+00:00,FIBO,LTCUSDT,LONG,48.735,48.073679999999996,49.9875,1.8939393939393805,предел издержек,вход слишком дорог: комиссии съедят 5.2% риска при пределе 5.0% — стоп стоит слишком тесно,5.153
